school_code,grade_12_total_enrollment,grade_12_test_takers,number_test_takers_who_scored_at_least_21,percentage_test_takers_who_scored_at_least_21,percentage_of_test_takers
129882.0,18.0,0.0,,,0.0
1995596.0,58.0,0.0,,,0.0
1530377.0,18.0,0.0,,,0.0
4333795.0,463.0,53.0,34,64.15,11.447084233261338
1935121.0,226.0,19.0,11,57.89,8.4070796460177
109926.0,65.0,33.0,3,9.09,50.76923076923077
126615.0,126.0,16.0,5,31.25,12.698412698412698
126003.0,14.0,1.0,*,,7.142857142857142
119958.0,84.0,9.0,*,,10.714285714285714
3631207.0,97.0,13.0,*,,13.402061855670103
126573.0,141.0,10.0,*,,7.092198581560284
116723.0,63.0,5.0,*,,7.936507936507936
126623.0,126.0,14.0,*,,11.11111111111111
1996321.0,104.0,36.0,34,94.44,34.61538461538461
108688.0,47.0,6.0,*,,12.76595744680851
107524.0,19.0,2.0,*,,10.526315789473683
730283.0,353.0,99.0,93,93.94,28.04532577903683
133793.0,78.0,0.0,,,0.0
125617.0,41.0,34.0,1,2.94,82.92682926829268
125419.0,430.0,28.0,8,28.57,6.511627906976744
5631619.0,507.0,91.0,55,60.44,17.94871794871795
4338802.0,458.0,138.0,93,67.39,30.131004366812224
1930080.0,459.0,140.0,114,81.43,30.501089324618736
118588.0,382.0,112.0,7,6.25,29.31937172774869
130609.0,31.0,5.0,*,,16.129032258064516
130229.0,463.0,93.0,85,91.4,20.086393088552914
106401.0,43.0,12.0,*,,27.906976744186046
130450.0,296.0,58.0,51,87.93,19.594594594594593
111203.0,51.0,0.0,,,0.0
1933852.0,585.0,139.0,75,53.96,23.760683760683758
1930163.0,648.0,93.0,69,74.19,14.351851851851851
730549.0,284.0,40.0,30,75.0,14.084507042253522
2730109.0,651.0,206.0,47,22.82,31.643625192012287
3030574.0,749.0,286.0,254,88.81,38.184245660881174
108936.0,141.0,70.0,19,27.14,49.645390070921984
111500.0,101.0,80.0,14,17.5,79.20792079207921
106864.0,123.0,8.0,*,,6.504065040650407
123133.0,137.0,14.0,*,,10.218978102189782
121293.0,89.0,89.0,10,11.24,100.0
5430301.0,24.0,0.0,,,0.0
132274.0,89.0,0.0,,,0.0
3630225.0,634.0,56.0,34,60.71,8.832807570977918
120402.0,61.0,8.0,*,,13.114754098360656
136432.0,190.0,0.0,,,0.0
130625.0,53.0,0.0,,,0.0
330753.0,154.0,17.0,16,94.12,11.03896103896104
130583.0,654.0,280.0,258,92.14,42.813455657492355
136499.0,19.0,0.0,,,0.0
121095.0,68.0,0.0,,,0.0
121087.0,412.0,41.0,31,75.61,9.951456310679612
130062.0,538.0,136.0,126,92.65,25.27881040892193
