school_code,grade_12_total_enrollment,grade_12_test_takers,number_grade_12_test_takers_meeting_both_benchmarks,percentage_grade_12_test_takers_meeting_both_benchmarks,percentage_of_test_takers
630046.0,18.0,0.0,,,0.0
634758.0,29.0,10.0,*,,34.48275862068966
1930924.0,206.0,102.0,14,13.73,49.51456310679612
1931476.0,227.0,113.0,18,15.93,49.77973568281938
1931856.0,18.0,14.0,*,,77.77777777777779
6061451.0,166.0,106.0,36,33.96,63.85542168674698
3034956.0,562.0,190.0,132,69.47,33.80782918149466
3336955.0,114.0,17.0,2,11.76,14.912280701754385
1332501.0,91.0,27.0,5,18.52,29.67032967032967
119685.0,85.0,68.0,6,8.82,80.0
3331600.0,581.0,204.0,82,40.2,35.111876075731494
111807.0,7.0,1.0,*,,14.285714285714285
1530377.0,18.0,0.0,,,0.0
1996586.0,145.0,68.0,29,42.65,46.89655172413793
1930387.0,104.0,4.0,*,,3.8461538461538463
3335759.0,174.0,38.0,12,31.58,21.839080459770116
3630563.0,36.0,7.0,*,,19.444444444444446
3630423.0,551.0,186.0,67,36.02,33.756805807622506
6061964.0,125.0,64.0,28,43.75,51.2
1030469.0,18.0,0.0,,,0.0
1030683.0,584.0,237.0,94,39.66,40.582191780821915
127720.0,31.0,1.0,*,,3.225806451612903
108159.0,521.0,192.0,39,20.31,36.85220729366603
1938885.0,336.0,193.0,76,39.38,57.44047619047619
1996115.0,292.0,23.0,7,30.43,7.876712328767123
6120158.0,90.0,47.0,32,68.09,52.22222222222223
1934553.0,579.0,269.0,215,79.93,46.45941278065631
2935500.0,353.0,89.0,62,69.66,25.21246458923513
3035102.0,633.0,205.0,179,87.32,32.38546603475513
4137790.0,395.0,344.0,153,44.48,87.0886075949367
735316.0,266.0,249.0,58,23.29,93.60902255639097
1237007.0,50.0,13.0,*,,26.0
100081.0,668.0,166.0,46,27.71,24.850299401197603
1930213.0,454.0,83.0,8,9.64,18.28193832599119
1936749.0,1135.0,932.0,158,16.95,82.11453744493392
128561.0,42.0,2.0,*,,4.761904761904762
137109.0,78.0,0.0,,,0.0
4134557.0,299.0,147.0,126,85.71,49.163879598662206
4137279.0,292.0,86.0,51,59.3,29.45205479452055
133397.0,567.0,178.0,132,74.16,31.393298059964724
1136209.0,15.0,3.0,*,,20.0
115212.0,41.0,17.0,6,35.29,41.46341463414634
121954.0,20.0,1.0,*,,5.0
3430352.0,64.0,0.0,,,0.0
3833407.0,678.0,423.0,385,91.02,62.38938053097345
115386.0,60.0,0.0,,,0.0
130146.0,139.0,1.0,*,,0.7194244604316548
2133692.0,376.0,149.0,119,79.87,39.62765957446808
110833.0,213.0,33.0,22,66.67,15.492957746478872
132019.0,15.0,1.0,*,,6.666666666666667
107052.0,100.0,18.0,1,5.56,18.0
107078.0,86.0,25.0,11,44.0,29.069767441860467
3930476.0,266.0,77.0,18,23.38,28.947368421052634
4233029.0,26.0,0.0,,,0.0
107797.0,574.0,244.0,156,63.93,42.508710801393725
1037456.0,120.0,27.0,0,0.0,22.5
1036938.0,91.0,28.0,15,53.57,30.76923076923077
130765.0,34.0,14.0,*,,41.17647058823529
107920.0,387.0,112.0,36,32.14,28.940568475452196
3630522.0,695.0,556.0,352,63.31,80.0
3631769.0,118.0,79.0,0,0.0,66.94915254237289
3632502.0,432.0,354.0,77,21.75,81.94444444444444
934554.0,65.0,2.0,*,,3.076923076923077
1931823.0,591.0,263.0,175,66.54,44.50084602368866
122341.0,85.0,31.0,1,3.23,36.470588235294116
2434207.0,303.0,95.0,34,35.79,31.353135313531354
120568.0,52.0,17.0,5,29.41,32.69230769230769
